m/z,retention_time,p-value,t-score,custom_id
128.1066,52,0.017633596,-2.65,AE_pos_128.1066_52
128.1064,488,0.862219589,-0.18,AE_pos_128.1064_488
128.1429,150,0.109389105,1.7,AE_pos_128.1429_150
128.143,537,0.316009812,1.04,AE_pos_128.143_537
128.9502,27,0.870820923,-0.17,AE_pos_128.9502_27
128.9704,23,0.303498967,1.06,AE_pos_128.9704_23
128.9914,563,0.309763879,1.05,AE_pos_128.9914_563
129.018,502,0.745377562,-0.33,AE_pos_129.018_502
129.0527,45,4.44E-07,8.14,AE_pos_129.0527_45
129.054,473,0.845465509,-0.2,AE_pos_129.054_473
129.0663,418,0.179920663,-1.4,AE_pos_129.0663_418
129.0734,540,0.000570577,-4.28,AE_pos_129.0734_540
129.0734,87,0.008669763,2.99,AE_pos_129.0734_87
129.0905,158,0.085502023,-1.83,AE_pos_129.0905_158
129.0906,528,0.212614224,1.3,AE_pos_129.0906_528
129.1382,41,0.001643114,3.78,AE_pos_129.1382_41
129.491,383,0.665299414,0.44,AE_pos_129.491_383
129.9337,19,0.755184543,-0.32,AE_pos_129.9337_19
129.9505,25,0.39449722,-0.88,AE_pos_129.9505_25
129.9534,27,0.669171305,-0.44,AE_pos_129.9534_27
129.9641,46,0.332194985,1,AE_pos_129.9641_46
129.9785,30,0.781770819,-0.28,AE_pos_129.9785_30
129.9785,530,0.358319697,-0.95,AE_pos_129.9785_530
129.9916,528,0.6437953,0.47,AE_pos_129.9916_528
129.9919,73,0.199083559,1.34,AE_pos_129.9919_73
130.0075,28,0.390426684,0.88,AE_pos_130.0075_28
130.0314,521,0.314315794,1.04,AE_pos_130.0314_521
130.0322,87,0.313645797,1.04,AE_pos_130.0322_87
130.0383,158,0.556637765,-0.6,AE_pos_130.0383_158
130.0491,115,0.404480677,0.86,AE_pos_130.0491_115
130.0571,108,0.133196494,1.58,AE_pos_130.0571_108
130.0587,493,0.527167108,-0.65,AE_pos_130.0587_493
130.0643,84,0.681977831,-0.42,AE_pos_130.0643_84
130.0859,60,0.146058542,1.53,AE_pos_130.0859_60
130.0983,62,6.43E-08,-9.4,AE_pos_130.0983_62
130.1586,113,0.585035619,0.56,AE_pos_130.1586_113
130.4912,30,0.14712585,1.52,AE_pos_130.4912_30
130.5082,526,0.051233141,-2.11,AE_pos_130.5082_526
130.524,90,0.098256648,-1.76,AE_pos_130.524_90
130.5236,439,0.230250068,1.25,AE_pos_130.5236_439
130.9567,26,0.990530503,0.01,AE_pos_130.9567_26
130.9657,35,0.482664181,-0.72,AE_pos_130.9657_35
130.9883,79,0.749774913,0.32,AE_pos_130.9883_79
130.9883,548,0.039435778,-2.24,AE_pos_130.9883_548
131.0107,25,0.337272805,-0.99,AE_pos_131.0107_25
131.0208,100,0.783912754,-0.28,AE_pos_131.0208_100
131.0331,68,1.99E-09,12.03,AE_pos_131.0331_68
131.0456,141,0.006523128,-3.13,AE_pos_131.0456_141
131.0435,520,0.768563277,-0.3,AE_pos_131.0435_520
131.0524,130,0.069260978,1.95,AE_pos_131.0524_130
131.0614,429,0.505757472,-0.68,AE_pos_131.0614_429
131.0628,83,0.89018758,0.14,AE_pos_131.0628_83
131.0692,502,0.103804683,-1.72,AE_pos_131.0692_502
131.0828,48,0.662938793,0.44,AE_pos_131.0828_48
131.089,66,0.450390403,0.77,AE_pos_131.089_66
131.1061,83,0.352392173,-0.96,AE_pos_131.1061_83
131.1062,461,0.773968048,0.29,AE_pos_131.1062_461
131.967,29,0.297408861,1.08,AE_pos_131.967_29
131.974,50,0.97851677,-0.03,AE_pos_131.974_50
132.0029,29,0.435945883,0.8,AE_pos_132.0029_29
132.054,105,0.671486149,0.43,AE_pos_132.054_105
132.0551,451,0.698777919,0.39,AE_pos_132.0551_451
132.0649,57,0.017764121,-2.64,AE_pos_132.0649_57
132.0752,51,0.492208615,0.7,AE_pos_132.0752_51
132.0863,46,0.364635475,0.93,AE_pos_132.0863_46
132.5162,124,0.736045685,-0.34,AE_pos_132.5162_124
132.9033,413,0.410825557,-0.84,AE_pos_132.9033_413
132.9293,522,0.949272899,0.06,AE_pos_132.9293_522
132.9547,27,0.036495933,-2.28,AE_pos_132.9547_27
133.0156,163,0.0722239,-1.92,AE_pos_133.0156_163
133.0313,55,0.003133852,-3.47,AE_pos_133.0313_55
133.0597,51,0.373516431,-0.92,AE_pos_133.0597_51
133.0693,122,0.023771735,-2.5,AE_pos_133.0693_122
133.0778,32,0.168409658,1.44,AE_pos_133.0778_32
133.0789,509,0.818306802,-0.23,AE_pos_133.0789_509
133.0859,38,0.803339471,0.25,AE_pos_133.0859_38
133.0993,40,0.996867347,0,AE_pos_133.0993_40
133.5143,163,0.1717828,-1.43,AE_pos_133.5143_163
133.5353,77,0.437053632,0.8,AE_pos_133.5353_77
134.016,161,0.074259109,-1.91,AE_pos_134.016_161
134.0364,98,0.003624344,-3.4,AE_pos_134.0364_98
134.0441,99,0.000298523,-4.6,AE_pos_134.0441_99
134.0602,112,0.90172418,-0.13,AE_pos_134.0602_112
134.0605,503,0.99269175,-0.01,AE_pos_134.0605_503
134.0802,174,0.590991106,0.55,AE_pos_134.0802_174
134.0821,559,0.28356496,-1.11,AE_pos_134.0821_559
134.0957,315,0.483728219,0.72,AE_pos_134.0957_315
134.5333,164,0.429069979,-0.81,AE_pos_134.5333_164
134.5516,77,0.839873032,-0.21,AE_pos_134.5516_77
134.9032,117,0.229863839,1.25,AE_pos_134.9032_117
134.9032,398,0.571077854,-0.58,AE_pos_134.9032_398
134.9262,493,0.902753405,-0.12,AE_pos_134.9262_493
134.9535,27,0.801848152,0.26,AE_pos_134.9535_27
135.0023,89,4.92E-05,5.49,AE_pos_135.0023_89
135.0133,176,0.569636286,-0.58,AE_pos_135.0133_176
135.0131,481,0.520691715,-0.66,AE_pos_135.0131_481
135.0443,88,0.027409935,-2.43,AE_pos_135.0443_88
135.0449,428,0.292723828,-1.09,AE_pos_135.0449_428
135.0561,64,0.753257098,-0.32,AE_pos_135.0561_64
135.0567,305,0.359703827,0.94,AE_pos_135.0567_305
135.0661,65,1.66E-05,-6.06,AE_pos_135.0661_65
135.0798,375,8.06E-05,5.24,AE_pos_135.0798_375
135.0799,77,0.096600561,-1.77,AE_pos_135.0799_77
135.1163,541,0.016216473,2.69,AE_pos_135.1163_541
136.0485,74,0.051020248,-2.11,AE_pos_136.0485_74
136.0613,351,0.583390353,0.56,AE_pos_136.0613_351
136.0623,60,4.11E-05,5.58,AE_pos_136.0623_60
136.0741,50,0.004268498,3.33,AE_pos_136.0741_50
136.1043,136,0.252449871,-1.19,AE_pos_136.1043_136
136.1114,93,0.918595811,0.1,AE_pos_136.1114_93
136.9038,101,0.205061716,1.32,AE_pos_136.9038_101
