,input_row,EID,str_row_ion,compounds,input_row.1,m/z,retention_time,p_value,statistic,CompoundID_from_user,compound_name,compound_name_no_colon
18,row94,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row94,75.044225763287,835.881805419922,0.9983460305590728,-0.0035982467463465,M75.044226T835.8818,Propionate (n-C3:0),Propionate (n-C3:0)
19,row95,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row95,75.0440768817608,740.710174560547,0.5803313087918397,0.9133454384837056,M75.044077T740.7102,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
19,row95,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row95,75.0440768817608,740.710174560547,0.5803313087918397,0.9133454384837056,M75.044077T740.7102,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
19,row95,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row95,75.0440768817608,740.710174560547,0.5803313087918397,0.9133454384837056,M75.044077T740.7102,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
19,row95,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row95,75.0440768817608,740.710174560547,0.5803313087918397,0.9133454384837056,M75.044077T740.7102,Propionate (n-C3:0),Propionate (n-C3:0)
20,row96,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row96,75.0442276087497,894.008588857422,0.2410243084346409,1.690859164891653,M75.044228T894.0086,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
20,row96,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row96,75.0442276087497,894.008588857422,0.2410243084346409,1.690859164891653,M75.044228T894.0086,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
20,row96,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row96,75.0442276087497,894.008588857422,0.2410243084346409,1.690859164891653,M75.044228T894.0086,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
20,row96,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row96,75.0442276087497,894.008588857422,0.2410243084346409,1.690859164891653,M75.044228T894.0086,Propionate (n-C3:0),Propionate (n-C3:0)
21,row97,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row97,75.0441952376563,725.6845703125,0.6152185016963391,-0.8436014143290689,M75.044195T725.6846,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
21,row97,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row97,75.0441952376563,725.6845703125,0.6152185016963391,-0.8436014143290689,M75.044195T725.6846,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
21,row97,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row97,75.0441952376563,725.6845703125,0.6152185016963391,-0.8436014143290689,M75.044195T725.6846,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
21,row97,E37,row95_M+H[1+];row97_M+H[1+],C00937;C00424;C05235;C00163,row97,75.0441952376563,725.6845703125,0.6152185016963391,-0.8436014143290689,M75.044195T725.6846,Propionate (n-C3:0),Propionate (n-C3:0)
22,row98,E31,row98_M+H[1+],C00937;C00424;C05235;C00163,row98,75.044256921978,537.54443359375,0.128605908389811,2.102817742052451,M75.044257T537.5444,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
22,row98,E31,row98_M+H[1+],C00937;C00424;C05235;C00163,row98,75.044256921978,537.54443359375,0.128605908389811,2.102817742052451,M75.044257T537.5444,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
22,row98,E31,row98_M+H[1+],C00937;C00424;C05235;C00163,row98,75.044256921978,537.54443359375,0.128605908389811,2.102817742052451,M75.044257T537.5444,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
