,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index,eid
113,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,319.299987792969,150.0,169.29998779296898,9.600576718505488e-05,M193.069272T319.3,27823,27823,98,1110,E961
114,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,86.9109954833984,150.0,63.089004516601605,1.1184601786794775e-05,M193.068543T86.911,27823,27823,98,1112,E960
115,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,600.060821533203,532.3199999999999,67.74082153320307,0.0332791395313767,M197.153922T600.0608,28834,28834,476,1125,E1032
116,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,586.134521484375,532.3199999999999,53.814521484375064,0.0002110581428732,M197.153916T586.1345,28834,28834,476,1127,E1032
117,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,617.241058349609,532.3199999999999,84.9210583496091,0.5294732114078522,M197.653575T617.2411_1,28834,28834,476,1129,E1032
118,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Paraxanthine,42.60302734375,205.68,163.07697265625,0.1325479325169462,M203.052973T42.603_8,25858,25858,150,1161,E88
119,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Theobromine,42.60302734375,183.18,140.57697265625,0.1325479325169462,M203.052973T42.603_8,28946,28946,123,1162,E88
120,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Paraxanthine,61.3228721618652,205.68,144.3571278381348,0.1931412360414838,M203.052931T61.3229_1,25858,25858,150,1173,E89
121,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Theobromine,61.3228721618652,183.18,121.8571278381348,0.1931412360414838,M203.052931T61.3229_1,28946,28946,123,1174,E89
122,L-Tyrosine$,L-tyrosine,79.8712730407715,77.04,2.8312730407714923,0.5327445406321004,M204.063389T79.8713,17895,17895,51,1180,E872
123,L-Tyrosine$,L-tyrosine,60.7208404541016,77.04,16.31915954589841,0.6529465272673693,M204.063367T60.7208,17895,17895,51,1183,E872
124,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,204.09765625,440.21999999999997,236.12234374999997,4.9699019404101216e-05,M205.047538T204.0977,30745,30745,419,1186,E387
125,L-Tryptophan$D-Tryptophan,L-tryptophan,199.419281005859,200.64,1.2207189941409808,0.7032294700929799,M205.097436T199.4193_6,16828,16828,144,1196,E1074
126,L-Tryptophan$D-Tryptophan,D-tryptophan,199.419281005859,234.42000000000002,35.00071899414101,0.7032294700929799,M205.097436T199.4193_6,16296,16296,187,1197,E1074
127,L-Tryptophan$D-Tryptophan,L-tryptophan,222.044967651367,200.64,21.404967651367002,0.9235903029237214,M205.097418T222.045,16828,16828,144,1198,E1075
128,L-Tryptophan$D-Tryptophan,D-tryptophan,222.044967651367,234.42000000000002,12.375032348633027,0.9235903029237214,M205.097418T222.045,16296,16296,187,1199,E1075
129,L-Tryptophan$D-Tryptophan,L-tryptophan,199.419647216797,200.64,1.2203527832029977,0.7068688432342609,M206.100724T199.4196_3,16828,16828,144,1203,E1074
130,L-Tryptophan$D-Tryptophan,D-tryptophan,199.419647216797,234.42000000000002,35.00035278320303,0.7068688432342609,M206.100724T199.4196_3,16296,16296,187,1204,E1074
131,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,222.648498535156,229.02,6.371501464844016,0.018010081753053,M207.026673T222.6485_2,30763,30763,176,1210,E398
